"","IVS_2010","IVS_CPH_10","IVS_INF_10","IVS_REN_10","Ocup_2010","Densid_Pop","Densid_Ocup","FEM","POP","MASC","DOM_OCU"
"59",0.31,0.467,0.105,0.357,1,0.0177418050978222,0.00499066247477418,396,711,315,200
"60",0.31,0.467,0.105,0.357,1,0.018415570503859,0.00496571616567471,400,738,338,199
"61",0.31,0.467,0.105,0.357,1,0.0188397140572864,0.00509046578501514,397,755,358,204
"62",0.362,0.595,0.112,0.379,0,0,0,0,0,0,0
"63",0.362,0.595,0.112,0.379,0,0.000399182394833307,0.000124744498385408,9,16,7,5
"64",0.362,0.595,0.112,0.379,0,0.00144704556819392,0.000399184984329358,27,58,31,16
"65",0.362,0.595,0.112,0.379,0,0.00149696499575228,0.000399190665533941,32,60,28,16
"66",0.362,0.595,0.112,0.379,0,0.00224544075753219,0.000798378936011444,47,90,43,32
"67",0.362,0.595,0.112,0.379,0,0.00284427391968861,0.000848292221661516,59,114,55,34
"68",0.362,0.595,0.112,0.379,0,0.00321848597415013,0.000873232628645383,65,129,64,35
"69",0.362,0.595,0.112,0.379,0,0.00616254916070055,0.00174647142206088,132,247,115,70
"70",0.362,0.595,0.112,0.379,0,0.00868248595684,0.00249496722897701,178,348,170,100
"71",0.362,0.595,0.112,0.379,0,0.0133730709415399,0.00401691123430583,270,536,266,161
"72",0.362,0.595,0.112,0.379,0,0.013822168080887,0.00419155999564804,296,554,258,168
"73",0.362,0.595,0.112,0.379,0,0.0158679974239576,0.00446599298567359,325,636,311,179
"74",0.385,0.495,0.255,0.406,0,0,0,0,0,0,0
"75",0.385,0.495,0.255,0.406,0,2.4946692356522e-05,2.4946692356522e-05,0,1,1,1
"76",0.385,0.495,0.255,0.406,0,2.69428939935077e-05,6.98519473905756e-06,14,27,13,7
"77",0.385,0.495,0.255,0.406,0,5.98736110753535e-05,2.39494444301414e-05,29,60,31,24
"78",0.385,0.495,0.255,0.406,0,7.68360076482855e-05,2.39488855007643e-05,40,77,37,24
"79",0.385,0.495,0.255,0.406,0,0.000124732368219476,2.49464736438953e-05,2,5,3,1
"80",0.385,0.495,0.255,0.406,0,0.000136713757589379,3.99164255735413e-05,67,137,70,40
"81",0.385,0.495,0.255,0.406,0,0.000163657551009568,5.08935067163901e-05,76,164,88,51
"82",0.385,0.495,0.255,0.406,0,0.000224532959384604,0.000124740532991447,4,9,5,5
"83",0.385,0.495,0.255,0.406,0,0.000274413633470565,4.98933879037391e-05,6,11,5,2
"84",0.385,0.495,0.255,0.406,0,0.000522886638391233,0.000124734408013176,265,524,259,125
"85",0.385,0.495,0.255,0.406,0,0.000612705924773342,0.000147688073072402,314,614,300,148
"86",0.385,0.495,0.255,0.406,0,0.00236990820506626,0.000623660053964805,45,95,50,25
"87",0.385,0.495,0.255,0.406,0,0.00399142557300445,0.00119742767190133,81,160,79,48
"88",0.435,0.576,0.209,0.521,1,0,0,0,0,0,0
"89",0.435,0.576,0.209,0.521,1,9.98154362627046e-06,1.99630872525409e-06,5,10,5,2
"90",0.435,0.576,0.209,0.521,1,1.29766274323144e-05,2.9946063305341e-06,7,13,6,3
"91",0.435,0.576,0.209,0.521,1,1.49725943511881e-05,3.99269182698349e-06,7,15,8,4
"92",0.435,0.576,0.209,0.521,1,1.59712142103223e-05,3.99280355258058e-06,8,16,8,4
"93",0.435,0.576,0.209,0.521,1,4.39195570047976e-05,7.98537400087228e-06,21,44,23,8
"94",0.435,0.576,0.209,0.521,1,6.88771368674064e-05,1.69697293731291e-05,36,69,33,17
"95",0.435,0.576,0.209,0.521,1,7.68611982367219e-05,1.79675528345584e-05,42,77,35,18
"96",0.435,0.576,0.209,0.521,1,0.000110794869385477,1.99630395289147e-05,55,111,56,20
"97",0.435,0.576,0.209,0.521,1,0.000174684750299276,4.19243400718263e-05,96,175,79,42
"98",0.435,0.576,0.209,0.521,1,0.00018665462230265,3.19408979341433e-05,92,187,95,32
"99",0.435,0.576,0.209,0.521,1,0.000199637706424363,7.48641399091363e-05,3,8,5,3
"100",0.435,0.576,0.209,0.521,1,0.000249551597634994,7.48654792904982e-05,7,10,3,3
"101",0.435,0.576,0.209,0.521,1,0.000573960413150728,0.000174683604002395,15,23,8,7
"102",0.435,0.576,0.209,0.521,1,0.000648827054221419,0.000174684206905767,12,26,14,7
"103",0.435,0.576,0.209,0.521,1,0.0012976691022688,0.000274506925479939,27,52,25,11
"104",0.435,0.576,0.209,0.521,1,0.00272005528182881,0.000773593704006359,52,109,57,31
"105",0.435,0.576,0.209,0.521,1,0.0053154309104272,0.00159712478059784,113,213,100,64
"106",0.435,0.576,0.209,0.521,1,0.00536530232411494,0.00172188772262294,119,215,96,69
"107",0.435,0.576,0.209,0.521,1,0.00536533792171755,0.00162207890656577,115,215,100,65
"108",0.435,0.576,0.209,0.521,1,0.00549005818284606,0.00154719821516571,121,220,99,62
"109",0.435,0.576,0.209,0.521,1,0.00628865658236233,0.00187162398284593,138,252,114,75
"110",0.435,0.576,0.209,0.521,1,0.00798559288695401,0.00267018262157525,183,320,137,107
"111",0.435,0.576,0.209,0.521,1,0.0125024870149057,0.00379316971310514,273,501,228,152
"112",0.438,0.59,0.176,0.547,1,0,0,0,0,0,0
"113",0.438,0.59,0.176,0.547,1,2.9946131059255e-06,9.98204368641834e-07,1,3,2,1
"114",0.438,0.59,0.176,0.547,1,3.39385583994797e-05,8.98373604692111e-06,15,34,19,9
"115",0.438,0.59,0.176,0.547,1,6.68797760345174e-05,1.99641122491097e-05,39,67,28,20
"116",0.438,0.59,0.176,0.547,1,0.000124770167092384,4.99080668369538e-05,3,5,2,2
"117",0.484,0.579,0.235,0.637,1,0,0,0,0,0,0
"118",0.484,0.579,0.235,0.637,1,7.9848054396411e-06,2.99430203986541e-06,5,8,3,3
"119",0.484,0.579,0.235,0.637,1,2.4951975290746e-05,2.4951975290746e-05,0,1,1,1
"120",0.484,0.579,0.235,0.637,1,2.69491304470017e-05,9.98115942481543e-06,15,27,12,10
"121",0.484,0.579,0.235,0.637,1,4.59108960354586e-05,1.09786925302184e-05,22,46,24,11
"122",0.484,0.579,0.235,0.637,1,8.88294795067797e-05,2.29559329062464e-05,48,89,41,23
"123",0.484,0.579,0.235,0.637,1,9.98079221392941e-05,2.49519805348235e-05,2,4,2,1
"124",0.484,0.579,0.235,0.637,1,0.000221571527457735,7.18610359322385e-05,116,222,106,72
"125",0.484,0.579,0.235,0.637,1,0.00023055360035719,5.88859845068147e-05,127,231,104,59
"126",0.484,0.579,0.235,0.637,1,0.000259496043984564,5.78875790427104e-05,122,260,138,58
"127",0.484,0.579,0.235,0.637,1,0.000299423466365685,7.48558665914213e-05,7,12,5,3
"128",0.484,0.579,0.235,0.637,1,0.00142226233598085,0.000324375620486859,32,57,25,13
"129",0.484,0.579,0.235,0.637,1,0.00459116183133021,0.00129750225668028,85,184,99,52
"130",0.484,0.579,0.235,0.637,1,0.00668712508021208,0.00204606065887086,140,268,128,82
"131",0.536,0.603,0.381,0.624,1,0,0,0,0,0,0
"132",0.536,0.603,0.381,0.624,1,4.59103023600684e-05,7.98440041044667e-06,28,46,18,8
"133",0.536,0.603,0.381,0.624,1,0.000673707566214421,0.000149712792492094,15,27,12,6
