fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,xcoord,ycoord
"4708",1KME6958N10366,1KME6958N10366,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001880.99572754,4004.09386341901,-35.9857510946849,-8.17163698858872
"4709",1KME6958N10367,1KME6958N10367,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001882.29870605,4004.09591324863,-35.9863425390666,-8.16272861812172
"4710",1KME6958N10368,1KME6958N10368,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001883.4173584,4004.09759571539,-35.9869339444092,-8.15382014773854
"4711",1KME6958N10369,1KME6958N10369,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"1","0","1","1",1001884.57263184,4004.09934747298,-35.9875253109995,-8.14491157762208
"4712",1KME6958N10370,1KME6958N10370,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001885.74206543,4004.10112919294,-35.9881166391726,-8.1360029070146
"4713",1KME6958N10371,1KME6958N10371,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001886.98596191,4004.10305891393,-35.9887079281917,-8.12709413609561
"4714",1KME6958N10372,1KME6958N10372,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001888.11230469,4004.10475307101,-35.9892991785542,-8.11818526463406
"4715",1KME6958N10373,1KME6958N10373,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001889.36132813,4004.10668898539,-35.9898903901694,-8.10927629221399
"4716",1KME6958N10374,1KME6958N10374,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001890.53027344,4004.10846868824,-35.9904815628985,-8.10036721854797
"4717",1KME6958N10375,1KME6958N10375,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001891.78161621,4004.11041014731,-35.9910726969376,-8.09145804385264
"4718",1KME6958N10376,1KME6958N10376,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001892.85681152,4004.11199738742,-35.9916637922293,-8.08254876774914
"4719",1KME6958N10377,1KME6958N10377,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",733919.309692383,3693.13638452251,-35.9930023890182,-8.07455367744033
"4720",1KME6958N10378,1KME6958N10378,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"9","5","14","3",121449.729492188,1739.83011273986,-35.9961650092488,-8.06740556496598
"4721",1KME6959N10364,1KME6959N10364,5KME6955N10360,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"51","41","92","22",1001862.17565918,4004.05733241399,-35.9753949326179,-8.18887883567696
"4722",1KME6959N10365,1KME6959N10365,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"449","444","893","218",1001863.41723633,4004.05926056888,-35.9759867539734,-8.17997067714334
"4723",1KME6959N10366,1KME6959N10366,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"12","10","22","4",1001864.58203125,4004.06103315185,-35.9765785364237,-8.17106241885715
"4724",1KME6959N10367,1KME6959N10367,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","2","7","2",1001865.77380371,4004.06286124663,-35.9771702800071,-8.16215406052964
"4725",1KME6959N10368,1KME6959N10368,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001866.94091797,4004.06463931256,-35.9777619848812,-8.15324560266615
"4726",1KME6959N10369,1KME6959N10369,5KME6955N10365,10KME6950N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"9","12","21","6",1001868.08288574,4004.0663673544,-35.9783536511229,-8.14433704468916
"4727",1KME6959N10370,1KME6959N10370,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001869.29943848,4004.06824342789,-35.9789452783636,-8.13542838686954
"4728",1KME6959N10371,1KME6959N10371,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"33","37","70","22",1001870.54589844,4004.07017569018,-35.9795368668712,-8.1265196282729
"4729",1KME6959N10372,1KME6959N10372,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001871.61328125,4004.07175367569,-35.9801284166315,-8.1176107691674
